"","plant_id","plant_name","generator_id","month","ActualGenerationMW","DZRGenerationMW","SummerMonthlyCapacity","WinterMonthlyCapacity","capacity_factor_gap"
"1","108","Holcomb","1","January",183443,155640.2616,267840,267840,0.684897700119474
"2","108","Holcomb","1","February",140201,136756.9995,267840,267840,0.523450567502987
"3","108","Holcomb","1","March",135779,121726.1593,267840,267840,0.506940710872163
"4","108","Holcomb","1","April",26530,10993.3871,267840,267840,0.0990516726403823
"5","108","Holcomb","1","May",37227,54939.4911,267840,267840,0.138989695340502
"6","108","Holcomb","1","June",141484,162692.1453,267840,267840,0.528240740740741
"7","108","Holcomb","1","July",216127,211819.4302,267840,267840,0.806925776583035
"8","108","Holcomb","1","August",228716,219033.2626,267840,267840,0.853927718040621
"9","108","Holcomb","1","September",176150,169159.8773,267840,267840,0.657668757467145
"10","108","Holcomb","1","October",198333,155900.7688,267840,267840,0.740490591397849
"11","108","Holcomb","1","November",NA,54028.8792,267840,267840,NA
"12","108","Holcomb","1","December",NA,126813.4951,267840,267840,NA
"13","6068","Jeffrey Energy Center","1","January",305528,259329.6857,538656,538656,0.567204301075269
"14","6068","Jeffrey Energy Center","1","February",228888,162987.1433,538656,538656,0.42492425592586
"15","6068","Jeffrey Energy Center","1","March",189754,141664.3716,538656,538656,0.352273064813165
"16","6068","Jeffrey Energy Center","1","April",203245,164102.4692,538656,538656,0.377318734034337
"17","6068","Jeffrey Energy Center","1","May",359619,292781.89,538656,538656,0.667622749955445
"18","6068","Jeffrey Energy Center","1","June",347296,348682.3787,538656,538656,0.644745440503772
"19","6068","Jeffrey Energy Center","1","July",440844,432578.8877,538656,538656,0.818414721083586
"20","6068","Jeffrey Energy Center","1","August",374421,392710.3572,538656,538656,0.695102254500089
"21","6068","Jeffrey Energy Center","1","September",364453,325671.6771,538656,538656,0.67659693756312
"22","6068","Jeffrey Energy Center","1","October",383903,349245.6355,538656,538656,0.712705325848037
"23","6068","Jeffrey Energy Center","1","November",NA,61694.2803,538656,538656,NA
"24","6068","Jeffrey Energy Center","1","December",NA,197017.2643,538656,538656,NA
"25","6068","Jeffrey Energy Center","2","January",84429,234841.6672,539400,539400,0.156523915461624
"26","6068","Jeffrey Energy Center","2","February",136858,271894.7667,539400,539400,0.253722654801631
"27","6068","Jeffrey Energy Center","2","March",130513,210952.5393,539400,539400,0.241959584723767
"28","6068","Jeffrey Energy Center","2","April",89921,136917.8455,539400,539400,0.166705598813496
"29","6068","Jeffrey Energy Center","2","May",287862,394971.7184,539400,539400,0.533670745272525
"30","6068","Jeffrey Energy Center","2","June",305653,382486.1135,539400,539400,0.56665368928439
"31","6068","Jeffrey Energy Center","2","July",343452,362311.1854,539400,539400,0.636729699666296
"32","6068","Jeffrey Energy Center","2","August",456218,456403.0394,539400,539400,0.845787912495365
"33","6068","Jeffrey Energy Center","2","September",349814,399397.6984,539400,539400,0.648524286243975
"34","6068","Jeffrey Energy Center","2","October",331322,352983.5185,539400,539400,0.614241750092696
"35","6068","Jeffrey Energy Center","2","November",NA,327435.6662,539400,539400,NA
"36","6068","Jeffrey Energy Center","2","December",NA,363834.3216,539400,539400,NA
"37","6068","Jeffrey Energy Center","3","January",270366,175383.4486,543120,543120,0.497801590808661
"38","6068","Jeffrey Energy Center","3","February",128038,147855.8233,543120,543120,0.235745323317131
"39","6068","Jeffrey Energy Center","3","March",0,12119.0091,543120,543120,0
"40","6068","Jeffrey Energy Center","3","April",0,0,543120,543120,0
"41","6068","Jeffrey Energy Center","3","May",123948,100051.8815,543120,543120,0.228214759169244
"42","6068","Jeffrey Energy Center","3","June",364135,322871.6926,543120,543120,0.670450360877891
"43","6068","Jeffrey Energy Center","3","July",480789,421514.3812,543120,543120,0.88523530711445
"44","6068","Jeffrey Energy Center","3","August",465485,437871.3479,543120,543120,0.857057372219767
"45","6068","Jeffrey Energy Center","3","September",356293,352607.7321,543120,543120,0.656011562822212
"46","6068","Jeffrey Energy Center","3","October",0,0,543120,543120,0
"47","6068","Jeffrey Energy Center","3","November",NA,36131.7731,543120,543120,NA
"48","6068","Jeffrey Energy Center","3","December",NA,23373.721,543120,543120,NA
"49","1241","La Cygne","1","January",242938,227119.6933,554280,558000,0.435372759856631
"50","1241","La Cygne","1","February",276957,129715.9164,554280,558000,0.496338709677419
"51","1241","La Cygne","1","March",295634,219528.3634,554280,558000,0.533365807894927
"52","1241","La Cygne","1","April",180049,215059.798,554280,558000,0.324834018907411
"53","1241","La Cygne","1","May",360636,325085.8434,554280,558000,0.650638666378004
"54","1241","La Cygne","1","June",428366,371933.896,554280,558000,0.772833225084795
"55","1241","La Cygne","1","July",500293,489472.9383,554280,558000,0.902599769069784
"56","1241","La Cygne","1","August",326413,355883.9295,554280,558000,0.588895504077362
"57","1241","La Cygne","1","September",340851,333329.9576,554280,558000,0.614943710759905
"58","1241","La Cygne","1","October",28453,43167.5898,554280,558000,0.0513332611676409
"59","1241","La Cygne","1","November",NA,15611.6291,554280,558000,NA
"60","1241","La Cygne","1","December",NA,228932.5697,554280,558000,NA
"61","1241","La Cygne","2","January",354313,388085.0991,501456,501456,0.706568472607766
"62","1241","La Cygne","2","February",350189,363882.7052,501456,501456,0.698344421045914
"63","1241","La Cygne","2","March",182089,216654.7785,501456,501456,0.363120592833668
"64","1241","La Cygne","2","April",0,0,501456,501456,0
"65","1241","La Cygne","2","May",29010,195665.2854,501456,501456,0.0578515363262181
"66","1241","La Cygne","2","June",282310,336500.7001,501456,501456,0.562980600491369
"67","1241","La Cygne","2","July",350948,416914.7045,501456,501456,0.69985801346479
"68","1241","La Cygne","2","August",440102,455644.433,501456,501456,0.877648288184806
"69","1241","La Cygne","2","September",349548,404904.1113,501456,501456,0.697066143390447
"70","1241","La Cygne","2","October",420227,443738.6512,501456,501456,0.838013704093679
"71","1241","La Cygne","2","November",NA,170334.3366,501456,501456,NA
"72","1241","La Cygne","2","December",NA,400821.2245,501456,501456,NA
"73","1250","Lawrence Energy Center","4","January",33776,47738.3032,81096,81096,0.416494031764822
