Generation Interconnection Number,IFS Queue Number,Current Cluster,Cluster Group, Nearest Town or County,State,TO at POI,In-Service Date,Commercial Operation Date,Cessation Date,Replacement Generator Commercial Op Date,Capacity,MAX Summer MW,MAX Winter MW,Service Type,Generation Type,Fuel Type,Substation or Line,Request Received,Status,Cause of Delay
GEN-2001-014,,ICS-2008-001 Prior Queued,04 SOUTHEAST,Sleeping Bear,OK,WFEC,6/30/07,4/15/07,,,94.5,94.5,94.5,ER,Wind,,Ft Supply 138kV,4/24/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-018,,,,Neosho County,KS,WERE,1/1/02,1/1/02,,,47,47,47,ER,Thermal,Gas,Chanute NW Neosho Cnty By Tioga Sub,5/15/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-024,,,,Washington County,AR,AEP,5/1/07,7/1/07,,,630,580,630,ER,Thermal,CT,SWEPCO Tontitown 161kV Substation,7/9/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-026,,ICS-2008-001 Prior Queued,04 SOUTHEAST,Meers,OK,WFEC,10/1/03,10/1/03,,,74.25,74.25,74.25,ER,Wind,,Washita 138kV,7/24/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-029N,,,,Beatrice,NE,NPPD,1/1/05,1/1/05,,,250,250,250,ER,Thermal,Gas,,8/15/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-030,,,03 CENTRAL,LaRussell Energy Center,MO,EDE,6/1/03,4/25/03,,,50,50,50,ER,Thermal,CT,LaRussell Energy Center 161kV,9/4/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-033,,ICS-2008-001 Prior Queued,05 SOUTHWEST,Chaves County (Melrose),NM,SPS,10/1/02,12/22/05,,,180,180,180,ER,Wind,,San Juan Tap 230kV,9/17/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-036,,ICS-2008-001 Prior Queued,05 SOUTHWEST,Tucumcari,NM,SPS,10/1/02,12/31/04,,,80,80,80,ER,Wind,,Norton 115kV Switching Station,10/15/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-037,,ICS-2008-001 Prior Queued,04 SOUTHEAST,Woodward,OK,OGE,10/1/02,11/12/03,,,102,102,102,ER,Wind,,FPL Moreland Tap 138kV,10/18/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-039A,,ICS-2008-001 Prior Queued,03 CENTRAL,Kiowa County,KS,MKEC,,,,,104,104,104,ER,Wind,,Shooting Star Tap 115kV,10/30/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-039M,,ICS-2008-001 Prior Queued,03 CENTRAL,Wichita County,KS,SUNC,12/1/08,,,,100,100,100,ER,Wind,,Central Plains Tap 115kV,11/1/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2001-040,,,03 CENTRAL,LaRussell Energy Ctr.,MO,EDE,6/1/03,4/24/03,,,50,50,50,ER,Thermal,CT,LaRussell Energy Center 161kV,11/27/01,IA FULLY EXECUTED/COMMERCIAL OPERATION,
GEN-2002-004,,ICS-2008-001 Prior Queued,03 CENTRAL,Beaumont SE Butler Cnty,KS,WERE,9/30/03,12/15/05,,,153,153,153,ER,Wind,,Latham 345kV,4/12/02,IA FULLY EXECUTED/COMMERCIAL OPERATION,
