"","Generation Interconnection Number","bus_id","ISO","ProjectName","In-Service Date","Generation Type","Status","Substation or Line","Capacity","Nearest Town or County","County","City","State","locations","BUS_Latitude","BUS_Longitude","Generator_Longitude","Generator_Latitude","geometry"
"1","GEN-2017-108",300703,"SPP","Henry - GEN-2017-108",2022-12-01,"Solar","DISIS STAGE","Stillwell - Clinton 161kV Line",400,"Henry County","Henry",NA,"Missouri","Henry County Missouri",38.297788062,-93.8634444248,-93.93483,38.31217,c(38.31217, -93.93483)
"2","GEN-2017-111",300699,"SPP","Bates - GEN-2017-111",2023-09-01,"Solar","DISIS STAGE","Clinton – Stilwell 161 kV Line Tap",152,"Bates","Bates",NA,"Missouri","Bates Missouri",38.3831016488,-94.0567197222,-94.11116,38.39914,c(38.39914, -94.11116)
"3","GEN-2017-119",539805,"SPP",NA,2024-05-01,"Wind","DISIS STAGE","Elm Creek 345kV substation",180,"Cloud",NA,NA,"Kansas","Cloud Kansas",39.6679619986103,-97.7933350925409,-97.6982272,39.4795571,c(39.4795571, -97.6982272)
"4","GEN-2017-120",532874,"SPP","Hope Ridge Wind Project",2027-05-01,"Wind","DISIS STAGE","Abilene Energy Center-Northview 115kV",260,"Dickinson","Dickinson",NA,"Kansas","Dickinson Kansas",38.8084659118993,-97.2245701680829,-97.15272,38.86651,c(38.86651, -97.15272)
"5","GEN-2017-175",659259,"SPP","Turner - GEN-2017-175",2023-09-30,"Wind","DISIS STAGE","Vfodnes-Utica Jct. 230kV",300,"Turner","Turner",NA,"South Dakota","Turner South Dakota",43.3794703662584,-96.9712958933022,-97.13791,43.28587,c(43.28587, -97.13791)
"6","GEN-2017-198",645031,"SPP","Omaha 20 MW BESS",2022-12-01,"Battery/Storage","FACILITY STUDY STAGE","Jones St. No 1201 69kV substation",11.64,"Omaha","Douglas","Omaha","Nebraska","Omaha Nebraska",41.2328200925329,-95.8809221604857,-95.92633,41.25403,c(41.25403, -95.92633)
"7","GEN-2017-201",640363,"SPP","Wayne County - GEN-2017-201",2022-12-01,"Wind","FACILITY STUDY STAGE","Hoskins 345kV Substation",250,"Wayne County","Wayne",NA,"Nebraska","Wayne County Nebraska",42.0631971293197,-97.3332539647246,-97.34769,42.06027,c(42.06027, -97.34769)
"8","GEN-2017-203",520918,"SPP",NA,2023-07-01,"Hybrid","DISIS STAGE","Renfrow 345kV Substation",210,"Grant",NA,NA,"Oklahoma","Grant Oklahoma",33.9908420493996,-95.5150798299724,-95.5138162,33.9430894,c(33.9430894, -95.5138162)
"9","GEN-2017-239",527099,"SPP","Yoakum - GEN-2017-239",2023-06-01,"Solar","DISIS STAGE","Mahoney 230kV Substation",300,"Yoakum","Yoakum",NA,"Texas","Yoakum Texas",32.9711144051443,-102.761267686567,-102.7594,32.97322,c(32.97322, -102.7594)
"10","GEN-2018-024",300893,"SPP","Muskogee 100 MW BESS",2023-10-15,"Battery/Storage","DISIS STAGE","Canadian River-Muskogee and Muskogee-Seminole 345kV",100,"Muskogee","Muskogee","Muskogee","Oklahoma","Muskogee Oklahoma",35.5255452533079,-95.6296599064827,-95.64592,35.57702,c(35.57702, -95.64592)
"11","GEN-2018-025",646297,"SPP","Washington - GEN-2018-025",2023-10-15,"Battery/Storage","DISIS STAGE","Fort Calhoun 345kV Substation",200,"Washington ","Washington","Washington","Nebraska","Washington  Nebraska",41.4897297656582,-96.0964906712867,-96.08289,41.51997,c(41.51997, -96.08289)
"12","GEN-2018-026",955089,"SPP","Canadian 100 MW BESS",2023-10-15,"Battery/Storage","DISIS STAGE","Mustang 138kV Substation",100,"Canadian",NA,"Canadian","Oklahoma","Canadian Oklahoma",35.4709064026916,-97.6755938075713,-97.6713,35.46871,c(35.46871, -97.6713)
"13","GEN-2018-027",509739,"SPP","Tulsa 100 MW BESS",2024-12-31,"Battery/Storage","DISIS STAGE","Tulsa Power Station 38kV Substation",100,"Tulsa","Tulsa","Tulsa","Oklahoma","Tulsa Oklahoma",36.1119365100707,-95.9915245275631,-95.98993,36.11301,c(36.11301, -95.98993)
"14","GEN-2018-028",915111,"SPP","Tulsa - GEN-2018-028",2023-10-15,"Battery/Storage","DISIS STAGE","Tulsa North 138kV Substation",200,"Tulsa","Tulsa","Tulsa","Oklahoma","Tulsa Oklahoma",36.2077400484081,-95.9363070591333,-95.93821,36.21394,c(36.21394, -95.93821)
"15","GEN-2018-029",955134,"SPP","Oklahoma 100 MW BESS",2023-10-15,"Battery/Storage","DISIS STAGE","Horseshoe Lake 138kV Substation",100,"Oklahoma","Oklahoma",NA,"Oklahoma","Oklahoma Oklahoma",35.5080730018242,-97.1827068933018,-97.17916,35.51047,c(35.51047, -97.17916)
"16","GEN-2018-030",531437,"SPP","Prowers 200 MW BESS",2023-10-15,"Battery/Storage","DISIS STAGE","Lamar-Finney 345kV Substation",200,"Prowers","Prowers",NA,"Colorado","Prowers Colorado",38.3335907891196,-101.941437996956,-102.53046,38.20932,c(38.20932, -102.53046)
"17","GEN-2018-031",548807,"SPP","Jackson 50 MW BESS",2024-12-31,"Battery/Storage","DISIS STAGE","Blue Valley 161kV Substation",50,"Jackson","Jackson",NA,"Missouri","Jackson Missouri",39.0924559998527,-94.3267490924505,-94.32467,39.08934,c(39.08934, -94.32467)
"18","GEN-2018-033",645041,"SPP","Cass - GEN-2018-033",2023-12-31,"Battery/Storage","DISIS STAGE","Cass County 345kV Substation",200,"Cass","Cass",NA,"Nebraska","Cass Nebraska",40.8581267915992,-96.0739102911398,-95.96745,40.94632,c(40.94632, -95.96745)
"19","GEN-2018-037",635010,"SPP","Douglas 100 MW BESS",2024-12-31,"Battery/Storage","DISIS STAGE","Looping in OPPD (S1211) (S1220) (S1211) (S1299) 161kV",100,"Douglas","Otoe","Douglas","Nebraska","Douglas Nebraska",41.3553633211766,-95.9252488278093,-95.94527,41.32972,c(41.32972, -95.94527)
"20","GEN-2018-079",533008,"SPP","Craig/Novata - GEN-2018-079",2023-12-31,"Solar","DISIS STAGE","Farmland-Delaware 138kV line",148,"Craig","Craig",NA,"Oklahoma","Craig Oklahoma",37.1540710060689,-95.4120056981341,-95.36511,36.94545,c(36.94545, -95.36511)
"21","GEN-2018-081",525425,"SPP","Craig - GEN-2018-081",2023-12-31,"Solar","DISIS STAGE","Plant X 230kV Substation",175,"Lamb ","Lamb",NA,"Texas","Lamb  Texas",34.1664077616626,-102.371721201112,-102.42087,34.16897,c(34.16897, -102.42087)
"22","GEN-2018-082",510913,"SPP","Pittsburg - GEN-2018-082",2023-12-31,"Wind","DISIS STAGE","Pittsburg 345kV Substation",215,"Pittsburg","Pittsburg",NA,"Oklahoma","Pittsburg Oklahoma",34.7403327095597,-95.9343076016531,-95.91962,34.70469,c(34.70469, -95.91962)
"23","GEN-2018-083",640363,"SPP","Madison - GEN-2018-083",2023-12-31,"Wind","DISIS STAGE","Shell Creek-Hoskins 345kv Line Break",250,"Madison","Madison",NA,"Nebraska","Madison Nebraska",42.0631971293197,-97.3332539647246,-97.37876,42.01273,c(42.01273, -97.37876)
"24","GEN-2018-087",508298,"SPP","Bowie 75 MW BESS",2023-12-31,"Battery/Storage","DISIS STAGE","Lydia 345kV substation",75,"Bowie","Bowie",NA,"Texas","Bowie Texas",33.4371595537772,-94.7470035569619,-94.71731,33.43956,c(33.43956, -94.71731)
"25","GEN-2018-088",508298,"SPP","Bowie - GEN-2018-088",2023-12-31,"Solar","DISIS STAGE","Lydia 345kV substation",130,"Bowie","Bowie",NA,"Texas","Bowie Texas",33.4371595537772,-94.7470035569619,-94.71085,33.42705,c(33.42705, -94.71085)
"26","GEN-2018-089",525425,"SPP","Castro - GEN-2018-089",2023-12-31,"Wind","DISIS STAGE","Newhart 230kV Substation",196,"Castro","Castro",NA,"Texas","Castro Texas",34.1664077616626,-102.371721201112,-102.40079,34.16626,c(34.16626, -102.40079)
"27","GEN-2018-090",646297,"SPP","Washington - GEN-2018-090",2023-12-31,"Battery/Storage","DISIS STAGE","Raun-Fort Calhoun 345kV Line",125,"Washington","Washington",NA,"Nebraska","Washington Nebraska",41.4897297656582,-96.0964906712867,-96.08337,41.52107,c(41.52107, -96.08337)
"28","GEN-2018-092",929001,"SPP","Foard/Wilbarger - GEN-2018-092",2023-12-31,"Solar","DISIS STAGE","Oklaunion-Tuco 345kV Line Break",400,"Foard","Foard",NA,"Texas","Foard Texas",34.0598653899204,-99.5049258270903,-99.47418,33.94785,c(33.94785, -99.47418)
"29","GEN-2018-097",525413,"SPP","Parmer - GEN-2018-097",2023-12-31,"Solar","DISIS STAGE","Tolk 230kV Substation",100,"Parmer","Parmer",NA,"Texas","Parmer Texas",34.2268466880348,-102.534696603535,-102.56037,34.18714,c(34.18714, -102.56037)
"30","GEN-2018-099",525413,"SPP","Parmer - GEN-2018-099",2023-12-31,"Wind","DISIS STAGE","Tolk 230kV Substation",300,"Parmer","Parmer",NA,"Texas","Parmer Texas",34.2268466880348,-102.534696603535,-102.56402,34.1841,c(34.1841, -102.56402)
"31","GEN-2018-106",508808,"SPP","Caddo - GEN-2018-106",2023-12-31,"Solar","DISIS STAGE","Longwood 345kV substation",165,"Caddo","Caddo",NA,"Louisiana","Caddo Louisiana",32.5850954049976,-93.9923565833403,-93.97156,32.591,c(32.591, -93.97156)
"32","GEN-2018-111",525413,"SPP","Parmer 75 MW",2023-12-31,"Battery/Storage","DISIS STAGE","Tolk 230kV substation",75,"Parmer","Parmer",NA,"Texas","Parmer Texas",34.2268466880348,-102.534696603535,-102.51832,34.1806,c(34.1806, -102.51832)
"33","GEN-2018-112",524721,"SPP",NA,2023-12-31,"Solar","DISIS STAGE","Tolk 230kV substation",185,"Parmer",NA,NA,"Texas","Parmer Texas",34.4548603569437,-102.736049196297,-102.7135121,34.4604292,c(34.4604292, -102.7135121)
"34","GEN-2018-116",530618,"SPP","Barton - GEN-2018-116",2022-12-31,"Solar","DISIS STAGE","Frey Street 115kV bus",150,"Barton","Barton",NA,"Kansas","Barton Kansas",38.2134314049122,-98.5865910293712,-98.74911,38.37795,c(38.37795, -98.74911)
"35","GEN-2018-117",511547,"SPP","Roger Mills - GEN-2018-117",2022-12-31,"Solar","DISIS STAGE","Sweetwater 230kV",150,"Roger Mills","Roger Mills",NA,"Oklahoma","Roger Mills Oklahoma",35.4388431354497,-99.9104359625183,-99.91859,35.4005,c(35.4005, -99.91859)
"36","GEN-2018-124",524728,"SPP","Parmer - GEN-2018-124",2023-12-31,"Solar","DISIS STAGE","Tolk 230kV substation",200,"Parmer","Parmer",NA,"Texas","Parmer Texas",34.4670304467491,-102.531960531565,-102.6122,34.45971,c(34.45971, -102.6122)
"37","GEN-2018-125",640261,"SPP","Lincoln - GEN-2018-125",2022-12-15,"Wind","DISIS STAGE","New switching station on Gentleman to Sweetwater 345kV line",231,"Lincoln","Lincoln",NA,"Nebraska","Lincoln Nebraska",41.0857594034021,-99.2992190542616,-99.26361,41.04399,c(41.04399, -99.26361)
"38","GEN-2019-003",525017,"SPP","Roosevelt - GEN-2019-003",2022-12-01,"Solar","DISIS STAGE","Roosevelt 230kV Substation",150,"Roosevelt","Roosevelt",NA,"New Mexico","Roosevelt New Mexico",34.2651121597545,-103.16178704792,-103.15884,34.3151,c(34.3151, -103.15884)
"39","GEN-2019-011",526928,"SPP","Yoakum 230 MW BESS",2023-05-01,"Battery/Storage","DISIS STAGE","Yoakum 345kV Substation",230,"Yoakum","Yoakum",NA,"Texas","Yoakum Texas",33.1946161123331,-102.779611096326,-102.79986,33.16792,c(33.16792, -102.79986)
"40","GEN-2019-012",520425,"SPP","Woodward 200 MW BESS",2023-05-01,"Battery/Storage","DISIS STAGE","Woodward 345kV substation",200,"Woodward","Woodward",NA,"Oklahoma","Woodward Oklahoma",36.3137907987324,-99.3274908819803,-99.36898,36.31005,c(36.31005, -99.36898)
"41","GEN-2019-014",531408,"SPP",NA,2022-12-01,"Hybrid","DISIS STAGE","Holcomb 115kV substation",125,"Finney",NA,NA,"Kansas","Finney Kansas",38.0399305741413,-100.900296385705,-100.8903099,38.0625252,c(38.0625252, -100.8903099)
"42","GEN-2019-016",923010,"SPP","Polk and Dade - GEN-2019-016",2022-11-30,"Solar","DISIS STAGE","Dadeville 161kV Substation ",200,"Polk","Polk",NA,"Missouri","Polk Missouri",37.4840109538754,-93.627777723992,-93.63135,37.48378,c(37.48378, -93.63135)
"43","GEN-2019-021",525017,"SPP","Roosevelt - GEN-2019-021",2022-12-01,"Solar","DISIS STAGE","Roosevelt 230kV Substation",50,"Roosevelt","Roosevelt",NA,"New Mexico","Roosevelt New Mexico",34.2651121597545,-103.16178704792,-103.17454,34.30961,c(34.30961, -103.17454)
"44","GEN-2019-023",661032,"SPP",NA,2023-12-31,"Hybrid","DISIS STAGE","WAPA-UGP Mingusville 230kV",110,"Wibaux",NA,NA,"Montana","Wibaux Montana",47.1561032653205,-104.563935061346,-104.1864623,46.9904554,c(46.9904554, -104.1864623)
