"Generation Interconnection Number","IFS Queue Number","Current Cluster","Cluster Group"," Nearest Town or County","State","TO at POI","In-Service Date","Commercial Operation Date","Capacity","MAX Summer MW","MAX Winter MW","Service Type","Generation Type","Fuel Type","Substation or Line","Request Received","Date Withdrawn","Status"
"GEN-2023-SR6","","Surplus","","","","",NA,NA,100.24,100.24,100.24,"ER","Solar","","Hoskins 345 kV Substation",2022-12-16,"","None"
"GEN-2023-SR5","","Surplus","","Seiling","OK","",NA,2022-12-31,85,85,85,"ER","Battery/Storage","","Tatonga 345 kV Substation",2022-12-15,"","None"
"GEN-2023-SR4","","Surplus","","Burke","ND","BEPC",2022-11-30,NA,170,170,170,"ER","Battery/Storage","","Tande 345 kV Substation",2022-12-15,"","None"
"GEN-2023-SR3","","Surplus","","Blackwell","OK","",NA,2022-12-31,50,50,50,"ER","Battery/Storage","","Nardin 69 kV Substation",2022-12-15,"","None"
"GEN-2023-SR2","","Surplus","","","","",NA,NA,85,85,85,"ER","Battery/Storage","","Minco 345 kV Substation",2022-11-30,"","None"
"GEN-2023-SR1","","","","Brown","NE","NPPD",2005-10-01,2023-05-01,24,24,24,"ERIS","Thermal","","Ainsworth Wind 115 kV",2022-12-05,"","None"
"GEN-2022-SR8","","Surplus","","Campbell","NE","",NA,NA,210,210,210,"ER","Solar","","Macon 345 kV Substation",NA,"","None"
"GEN-2022-SR7","","Surplus","","Campbell","NE","",NA,2018-12-01,210,210,210,"ER","Battery/Storage","","Macon 345 kV Substation",2022-07-27,"","None"
"GEN-2022-GR2","","","","Harrah","OK","",NA,NA,400,400,480,"NRIS","","","",2022-08-01,"","None"
"GEN-2022-GR1","","","","Hallsville","TX","",NA,2026-03-30,580,580,580,"ERIS","","","Pirkey 138 kV",2022-03-23,"","None"
"GEN-2022-104","","DISIS-2022-001","04 SOUTHEAST","Bryan","OK","",2025-11-03,2026-02-02,113.078,113.078,113.078,"NR","Solar","","Interconnecting at the 138 kV line from Brown (#505602) to Kiersey (#520963) via 100 feet gen tie-line.",2023-01-26,"","DISIS STAGE"
"GEN-2022-103","","DISIS-2022-001","03 CENTRAL","Christian","MO","",2026-10-01,2027-01-01,74.99,74.99,74.99,"NR","Battery/Storage","","EMDE Ozark South 161kV (PTI# 547621)",2023-01-30,"","DISIS STAGE"
"GEN-2022-102","","DISIS-2022-001","03 CENTRAL","Clay","MO","",2026-10-01,2027-01-01,100,100,100,"NR","Battery/Storage","","KCPL Hallmark 161kV (PTI# 541215)",2023-01-06,"","DISIS STAGE"
"GEN-2022-101","","DISIS-2022-001","03 CENTRAL","Andrew","MO","",2026-10-01,2027-01-01,100,100,100,"NR","Battery/Storage","","KCPL St Joseph 161kV (PTI# 541253)",2023-01-06,"","DISIS STAGE"
"GEN-2022-100","","DISIS-2022-001","04 SOUTHEAST","Pittsburg","OK","WFEC",2025-10-25,2025-10-01,150,150,150,"ER/NR","Hybrid","Solar/Storage","To Be Defined",2022-12-15,"","DISIS STAGE"
"GEN-2022-099","","DISIS-2022-001","04 SOUTHEAST","Pittsburg","OK","AEP",2025-10-25,2025-10-01,200,200,200,"ER/NR","Hybrid","Solar/Storage","To Be Defined",2022-12-15,"","DISIS STAGE"
"GEN-2022-098","","DISIS-2022-001","04 SOUTHEAST","Johnston ","OK","OGE",2024-03-01,2024-12-01,200,200,200,"ER/NR","Solar","","Bison 345kV Substation",2022-12-06,"","DISIS STAGE"
"GEN-2022-097","","DISIS-2022-001","01 NORTH","Rosebud and Cluster","MT","WAPA",2026-12-01,2027-10-01,400,408,408,"NR","Wind","","230 kV gen-tie line (Miles City 2 - Rosebud Creek 230 kV Line)",2022-10-17,"","DISIS STAGE"
"GEN-2022-096","","DISIS-2022-001","03 CENTRAL","Osborne ","KS","",2028-05-27,2028-12-31,225,225,225,"ER/NR","Wind","","Postrock to Axtell 345 kV line",2022-11-15,"","DISIS STAGE"
"GEN-2022-095","","DISIS-2022-001","03 CENTRAL","Osborne ","KS","",2028-05-27,2028-12-31,250,250,250,"ER/NR","Wind","","Postrock to Axtell 345 kV line",2022-11-15,"","DISIS STAGE"
"GEN-2022-094","","DISIS-2022-001","03 CENTRAL","Osborne ","KS","",2028-05-27,2028-12-31,250,250,250,"ER/NR","Wind","","Postrock to Axtell 345 kV line",2022-11-15,"","DISIS STAGE"
"GEN-2022-093","","DISIS-2022-001","03 CENTRAL","Hempstead","AR","AEP",2026-10-01,2026-12-30,90,90,90,"ER/NR","Solar","","Fulton - Patmos West 115kV",2022-11-15,"","DISIS STAGE"
"GEN-2022-092","","DISIS-2022-001","04 SOUTHEAST","Nowata and Craig","OK","WERE",2026-09-01,2026-12-15,299.2,299.2,299.2,"ER/NR","Wind","","Neosho-Delaware 345 kV",2022-11-15,"","DISIS STAGE"
"GEN-2022-091","","DISIS-2022-001","04 SOUTHEAST","McCurtain","OK","",2026-09-30,2026-09-30,150,150,150,"ER/NR","Battery/Storage","","Valiant Substation 138kV",2022-11-15,"","DISIS STAGE"
"GEN-2022-090","","DISIS-2022-001","04 SOUTHEAST","McCurtain","OK","",2026-09-30,2026-09-30,150,150,150,"ER/NR","Solar","","Valiant Substation 138kV",2022-11-15,"","DISIS STAGE"
"GEN-2022-089","","DISIS-2022-001","03 CENTRAL","Little River","AR","",2026-09-30,2026-09-30,74.99,74.99,74.99,"ER/NR","Battery/Storage","","South Foreman Substation 138kV",2022-11-15,"","DISIS STAGE"
"GEN-2022-088","","DISIS-2022-001","03 CENTRAL","Little River","AR","",2026-09-30,2026-09-30,74.99,74.99,74.99,"ER/NR","Solar","","South Foreman Substation 138kV",2022-11-15,"","DISIS STAGE"
"GEN-2022-087","","DISIS-2022-001","05 SOUTHWEST","Lamb","TX","SPS",2026-06-01,2026-12-31,225,225,225,"ER/NR","Hybrid","Solar/Storage","230kV Lamb County Interchange",2022-11-05,"","DISIS STAGE"
"GEN-2022-086","","DISIS-2022-001","03 CENTRAL","Finney","KS","SPS",2027-09-30,2027-12-31,700,703.3,703.3,"ER/NR","Solar","","345kV Hitchland - Finney Line",2022-11-05,"","DISIS STAGE"
"GEN-2022-085","","DISIS-2022-001","04 SOUTHEAST","Ofuskee and Hughes","OK","OGE",2025-09-01,2025-12-31,241.4,241.4,241.4,"ER/NR","Wind","","Seminole to Muskogee 345kV Substation",2022-11-05,"","DISIS STAGE"
"GEN-2022-084","","DISIS-2022-001","03 CENTRAL","Jasper","MO","",2026-02-01,2026-07-01,11.45,11.45,11.45,"NR","Solar","","POI-Galena 69 kV interconnection substation through a 0.50 mile 69 kV gen-tie line ",2022-10-18,"","DISIS STAGE"
"GEN-2022-083","","DISIS-2022-001","01 NORTH","Williams","ND","",2025-06-01,2025-11-01,250,0,0,"ER","Thermal","CTG","Judson Substation 345 kV",2022-10-21,"","DISIS STAGE"
"GEN-2022-082","","DISIS-2022-001","04 SOUTHEAST","Johnson ","OK","OGE",2025-04-01,2025-12-31,180,180,180,"ER/NR","Solar","","Johnson County 345 kV Substation",2022-09-22,"","DISIS STAGE"
"GEN-2022-081","","DISIS-2022-001","05 SOUTHWEST","Johnston ","OK","OGE",2025-04-01,2025-12-31,218,218,218,"ER/NR","Solar","","Johnson County 345 kV Substation",2022-09-22,"","DISIS STAGE"
"GEN-2022-080","","DISIS-2022-001","03 CENTRAL","Cedar","MO","EMP",2026-01-01,2027-10-31,96,96,96,"ER/NR","Battery/Storage","","Dadeville 161kV Substation (547478)",2022-09-22,"","DISIS STAGE"
"GEN-2022-079","","DISIS-2022-001","03 CENTRAL","Cedar","MO","EMP",2026-01-01,2027-10-31,192,192,192,"ER/NR","Solar","","Dadeville 161kV Substation (547478)",2022-09-22,"","DISIS STAGE"
"GEN-2022-078","","DISIS-2022-001","01 NORTH","Bowman","ND","BEPC",2025-01-01,2027-04-01,180,180,180,"ER/NR","Solar","","Rhame-Bellfield 230 kV",2022-09-21,"","DISIS STAGE"
"GEN-2022-077","","DISIS-2022-001","02 NEBRASKA","Chase","NE","NPPD",2026-01-01,2026-12-01,250,250,250,"ER/NR","Solar","","Enders 115 kV Substation",2022-09-21,"","DISIS STAGE"
"GEN-2022-076","","DISIS-2022-001","04 SOUTHEAST","Stevens","OK","SPS",2025-04-30,2025-12-31,300,300,300,"ER/NR","Solar","","Carpenter 345 kV Substation",2022-09-07,"","DISIS STAGE"
"GEN-2022-075","","DISIS-2022-001","03 CENTRAL","Ellis","KS","ITC",2027-09-03,2027-11-19,175,175,175,"NR","Solar","","Tap on the Spearville - Post Rock 345kV line",2022-09-02,"","DISIS STAGE"
"GEN-2022-074","","DISIS-2022-001","04 SOUTHEAST","Eufaula, McIntosh","OK","WFEC",2025-03-01,2025-10-31,242,254.8,254.8,"NR","Wind","","Hanna 138kV Substation",2022-09-06,"","DISIS STAGE"
"GEN-2022-073","","DISIS-2022-001","03 CENTRAL","Kay","MO","WERE",2025-04-01,2025-12-31,300,300,300,"ER/NR","Battery/Storage","","Nashua 345kV Substation",2022-09-02,"","DISIS STAGE"
"GEN-2022-072","","DISIS-2022-001","04 SOUTHEAST","Mayes","OK","WERE",2025-07-01,2025-12-31,181,181,181,"ER/NR","Solar","","Choteau 138 kV Substation",2022-08-12,"","DISIS STAGE"
"GEN-2022-071","","DISIS-2022-001","04 SOUTHEAST","Pittsburg","OK","AEP",2025-11-03,2026-02-02,90.824,90.824,90.824,"NR","Solar","","Talawanda to Canadian River 138 kV Line Tap",2022-08-12,"","DISIS STAGE"
"GEN-2022-070","","DISIS-2022-001","01 NORTH","Hyde","SD","BEPC",2026-07-01,2026-11-01,250,250,250,"ER/NR","Wind","","Chappelle Creek 345 kV",2022-08-11,"","DISIS STAGE"
"GEN-2022-069","","DISIS-2022-001","01 NORTH","Hyde","SD","BEPC",2027-07-01,2026-11-01,250,250,250,"ER/NR","Wind","","Chappelle Creek 345 kV",2022-08-11,"","DISIS STAGE"
"GEN-2022-068","","DISIS-2022-001","01 NORTH","Hyde","SD","BEPC",2026-07-01,2026-11-01,250,250,250,"ER/NR","Wind","","Chappelle Creek 345 kV",2022-08-11,"","DISIS STAGE"
"GEN-2022-067","","DISIS-2022-001","01 NORTH","Meade","SD","WAPA",2026-12-31,2027-04-01,150,150,150,"ER/NR","Solar","","Faith - Maurine 115 kV Substation",2022-08-05,"","DISIS STAGE"
"GEN-2022-066","","DISIS-2022-001","01 NORTH","Perkins","SD","WAPA",2026-12-31,2027-04-01,150,150,150,"ER/NR","Solar","","Bison - Maurine 230 kV Substation",2022-08-05,"","DISIS STAGE"
