Interval,GMTIntervalEnd,STLF,MTLF,Actual Load,STWF,MTWF,Actual Wind, STSF, MTSF, Actual Solar
02/22/2023 09:15:00,02/22/2023 15:15:00,,,,,,,,,
02/22/2023 09:10:00,02/22/2023 15:10:00,,,,,,,,,
02/22/2023 09:05:00,02/22/2023 15:05:00,,,,,,,,,
02/22/2023 09:00:00,02/22/2023 15:00:00,,34238.044,,,11875.040,,,111.140,
02/22/2023 08:55:00,02/22/2023 14:55:00,,,,,,,,,
02/22/2023 08:50:00,02/22/2023 14:50:00,,,,,,,,,
02/22/2023 08:45:00,02/22/2023 14:45:00,,,,,,,,,
02/22/2023 08:40:00,02/22/2023 14:40:00,,,,,,,,,
02/22/2023 08:35:00,02/22/2023 14:35:00,,,,,,,,,
02/22/2023 08:30:00,02/22/2023 14:30:00,,,,,,,,,
02/22/2023 08:25:00,02/22/2023 14:25:00,,,,,,,,,
02/22/2023 08:20:00,02/22/2023 14:20:00,,,,,,,,,
02/22/2023 08:15:00,02/22/2023 14:15:00,,,,,,,,,
02/22/2023 08:10:00,02/22/2023 14:10:00,,,,,,,,,
02/22/2023 08:05:00,02/22/2023 14:05:00,,,,,,,,,
02/22/2023 08:00:00,02/22/2023 14:00:00,,34409.393,,,14157.470,,,12.100,
02/22/2023 07:55:00,02/22/2023 13:55:00,,,,,,,,,
02/22/2023 07:50:00,02/22/2023 13:50:00,,,,,,,,,
02/22/2023 07:45:00,02/22/2023 13:45:00,,,,,,,,,
02/22/2023 07:40:00,02/22/2023 13:40:00,,,,,,,,,
02/22/2023 07:35:00,02/22/2023 13:35:00,,,,,,,,,
02/22/2023 07:30:00,02/22/2023 13:30:00,,,,,,,,,
02/22/2023 07:25:00,02/22/2023 13:25:00,,,,,,,,,
02/22/2023 07:20:00,02/22/2023 13:20:00,,,,,,,,,
02/22/2023 07:15:00,02/22/2023 13:15:00,,,,,,,,,
02/22/2023 07:10:00,02/22/2023 13:10:00,,,,,,,,,
02/22/2023 07:05:00,02/22/2023 13:05:00,,,,,,,,,
02/22/2023 07:00:00,02/22/2023 13:00:00,,33073.266,,,16063.250,,,0.000,
02/22/2023 06:55:00,02/22/2023 12:55:00,,,,,,,,,
02/22/2023 06:50:00,02/22/2023 12:50:00,,,,,,,,,
02/22/2023 06:45:00,02/22/2023 12:45:00,,,,,,,,,
02/22/2023 06:40:00,02/22/2023 12:40:00,,,,,,,,,
02/22/2023 06:35:00,02/22/2023 12:35:00,,,,,,,,,
02/22/2023 06:30:00,02/22/2023 12:30:00,,,,,,,,,
02/22/2023 06:25:00,02/22/2023 12:25:00,,,,,,,,,
02/22/2023 06:20:00,02/22/2023 12:20:00,,,,,,,,,
02/22/2023 06:15:00,02/22/2023 12:15:00,,,,,,,,,
02/22/2023 06:10:00,02/22/2023 12:10:00,,,,,,,,,
02/22/2023 06:05:00,02/22/2023 12:05:00,,,,,,,,,
02/22/2023 06:00:00,02/22/2023 12:00:00,,30820.384,,,17368.890,,,0.000,
02/22/2023 05:55:00,02/22/2023 11:55:00,,,,,,,,,
02/22/2023 05:50:00,02/22/2023 11:50:00,,,,,,,,,
02/22/2023 05:45:00,02/22/2023 11:45:00,,,,,,,,,
02/22/2023 05:40:00,02/22/2023 11:40:00,,,,,,,,,
02/22/2023 05:35:00,02/22/2023 11:35:00,,,,,,,,,
